id;timestamp;genes;clean_acc;blackbox_acc
35;2025-11-25T20:03:55.738121;[2. 1. 2. 1. 1. 1. 0. 2. 0. 0. 0. 0. 0. 1. 1. 0.];77,97619048;72,4702381
38;2025-11-25T20:08:03.006590;[2. 1. 2. 1. 1. 1. 0. 2. 0. 0. 0. 0. 0. 1. 1. 0.];77,97619048;73,31349206
43;2025-11-25T20:12:12.610958;[2. 1. 2. 1. 1. 1. 0. 2. 0. 0. 0. 0. 0. 1. 1. 0.];77,97619048;71,4781746
45;2025-11-25T20:16:18.472509;[2. 1. 2. 1. 1. 1. 0. 2. 0. 0. 0. 0. 0. 1. 1. 0.];77,97619048;74,10714286
12;2025-11-24T12:41:45.290929;[0. 0. 1. 0. 1. 1. 1. 0. 2. 0. 1. 1. 1. 0. 1. 2.];77,77777778;44,59325397
36;2025-11-25T14:52:50.205901;[0. 1. 0. 0. 0. 1. 0. 0. 2. 1. 2. 0. 0. 1. 0. 2.];77,57936508;44,24603175
44;2025-11-25T15:19:50.728877;[0. 0. 0. 1. 2. 0. 1. 2. 1. 0. 0. 0. 2. 2. 0. 1.];77,57936508;61,30952381
2;2025-11-25T15:43:35.517054;[2. 1. 2. 1. 1. 1. 0. 2. 0. 2. 0. 0. 1. 1. 1. 0.];77,57936508;72,37103175
44;2025-11-25T17:59:10.020559;[2. 1. 2. 1. 1. 1. 0. 2. 0. 2. 0. 0. 1. 1. 1. 0.];77,57936508;74,25595238
17;2025-11-24T17:28:27.950764;[1. 2. 1. 2. 2. 1. 0. 2. 0. 2. 2. 0. 2. 2. 0. 0.];77,48015873;54,41468254
4;2025-11-24T16:26:44.319744;[0. 1. 2. 2. 0. 2. 2. 1. 0. 2. 2. 0. 0. 2. 0. 0.];77,38095238;53,125
7;2025-11-24T16:41:49.133292;[2. 0. 1. 0. 0. 1. 2. 1. 1. 0. 0. 1. 1. 2. 1. 2.];77,38095238;44,59325397
19;2025-11-24T17:37:39.285709;[1. 0. 0. 1. 2. 2. 1. 1. 1. 0. 0. 0. 0. 1. 2. 1.];77,38095238;56,00198413
14;2025-11-25T10:41:09.492991;[2. 1. 0. 2. 1. 1. 2. 2. 0. 0. 0. 2. 1. 2. 1. 2.];77,28174603;60,26785714
7;2025-11-25T10:21:44.261748;[1. 0. 2. 1. 0. 0. 2. 1. 2. 2. 2. 0. 2. 2. 1. 2.];77,18253968;41,76587302
10;2025-11-24T12:32:59.778891;[2. 2. 2. 1. 0. 0. 2. 0. 1. 1. 2. 2. 1. 2. 1. 2.];77,18253968;59,62301587
3;2025-11-25T13:03:29.797940;[2. 0. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 2. 1. 1. 2.];77,18253968;64,38492063
15;2025-11-25T13:42:26.771447;[1. 1. 1. 0. 1. 0. 1. 1. 1. 2. 0. 0. 1. 0. 0. 0.];77,08333333;29,61309524
19;2025-11-25T10:56:02.967005;[2. 0. 1. 2. 2. 1. 2. 0. 2. 0. 0. 2. 2. 2. 0. 1.];76,98412698;63,83928571
36;2025-11-25T20:28:54.328191;[2. 1. 2. 1. 1. 2. 0. 2. 0. 0. 0. 0. 1. 1. 1. 0.];76,98412698;72,32142857
26;2025-11-25T11:14:56.848127;[0. 2. 1. 2. 2. 1. 2. 1. 0. 0. 0. 1. 1. 1. 1. 0.];76,78571429;62,99603175
