timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;fgsm_acc;pgd_acc;robustness;params;total_time_sec
37:37,6;127;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:37,8;128;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:38,0;129;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:38,2;130;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:38,4;131;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:38,6;132;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:38,8;133;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:39,0;134;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:39,2;135;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:39,4;136;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:39,5;137;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:39,7;138;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:39,9;139;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:40,1;140;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:40,3;141;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:40,5;142;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:40,7;143;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:40,9;144;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:41,1;145;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:41,3;146;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:41,5;147;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:41,7;148;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:41,9;149;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:42,1;150;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
